,home_team,away_team,season_type,season,week,game_date,start_time,game_id,stadium,roof,surface,condition,temperature,humidity,wind
175,CHI,PIT,REG,2025,12,2025-11-23,"11/23/25, 13:02:37",2025_12_PIT_CHI,Soldier Field,outdoors,grass,Sunny ,51,58,NW 3
176,TEN,SEA,REG,2025,12,2025-11-23,"11/23/25, 13:03:03",2025_12_SEA_TEN,Nissan Stadium,outdoors,grass,Sunny ,55,64,N 1
177,LA,TB,REG,2025,12,2025-11-23,"11/23/25, 20:23:07",2025_12_TB_LA,SoFi Stadium,dome,matrixturf,Clear ,63,81,S 2
178,TB,ARI,REG,2025,13,2025-11-30,"11/30/25, 13:02:33",2025_13_ARI_TB,Raymond James Stadium,outdoors,grass,Clear ,80,56,E 8
179,NYJ,ATL,REG,2025,13,2025-11-30,"11/30/25, 13:02:40",2025_13_ATL_NYJ,MetLife Stadium,outdoors,fieldturf,Cold misty rain ,43,79,SW 8
180,PIT,BUF,REG,2025,13,2025-11-30,"11/30/25, 16:25:29",2025_13_BUF_PIT,Acrisure Stadium,outdoors,grass,Cloudy ,34,68,W 16
181,PHI,CHI,REG,2025,13,2025-11-28,"11/28/25, 15:02:44",2025_13_CHI_PHI,Lincoln Financial Field,outdoors,grass,Sunny ,42,35,W 18
182,BAL,CIN,REG,2025,13,2025-11-27,"11/27/25, 20:23:10",2025_13_CIN_BAL,M&T Bank Stadium,outdoors,grass,Clear ,38,44,NW 11
183,WAS,DEN,REG,2025,13,2025-11-30,"11/30/25, 20:24:16",2025_13_DEN_WAS,FedExField,outdoors,grass,Clear ,40,77,SW 13
184,DET,GB,REG,2025,13,2025-11-27,"11/27/25, 13:03:14",2025_13_GB_DET,Ford Field,dome,fieldturf,Controlled climate ,68,70,0
185,IND,HOU,REG,2025,13,2025-11-30,"11/30/25, 13:02:29",2025_13_HOU_IND,Lucas Oil Stadium,closed,fieldturf,,27,79,W 5
186,TEN,JAX,REG,2025,13,2025-11-30,"11/30/25, 13:02:32",2025_13_JAX_TEN,Nissan Stadium,outdoors,grass,Cloudy ,38,79,NW 7
187,DAL,KC,REG,2025,13,2025-11-27,"11/27/25, 16:40:44",2025_13_KC_DAL,AT&T Stadium,closed,matrixturf,None ,None,None,NE None
188,CAR,LA,REG,2025,13,2025-11-30,"11/30/25, 13:02:51",2025_13_LA_CAR,Bank of America Stadium,outdoors,grass,Cloudy ,45,57,W 3
189,LAC,LV,REG,2025,13,2025-11-30,"11/30/25, 16:25:32",2025_13_LV_LAC,SoFi Stadium,dome,matrixturf,Cloudy ,64,70,SW 7
190,SEA,MIN,REG,2025,13,2025-11-30,"11/30/25, 16:05:24",2025_13_MIN_SEA,Lumen Field,outdoors,fieldturf,Sunny ,45,75,N 2
191,MIA,NO,REG,2025,13,2025-11-30,"11/30/25, 13:03:04",2025_13_NO_MIA,Hard Rock Stadium,outdoors,grass,Cloudy ,76,87,E 10
192,NE,NYG,REG,2025,13,2025-12-01,"12/1/25, 20:15:45",2025_13_NYG_NE,Gillette Stadium,outdoors,fieldturf,Mostly Clear ,30,60,S 4
193,CLE,SF,REG,2025,13,2025-11-30,"11/30/25, 13:02:18",2025_13_SF_CLE,FirstEnergy Stadium,outdoors,grass,Cloudy ,35,73,SW 20
194,GB,CHI,REG,2025,14,2025-12-07,"12/7/25, 16:25:33",2025_14_CHI_GB,Lambeau Field,outdoors,grass,Sunny ,16,55,W 9
195,BUF,CIN,REG,2025,14,2025-12-07,"12/7/25, 13:02:33",2025_14_CIN_BUF,New Era Field,outdoors,a_turf,Snow ,31,86,W 12
196,DET,DAL,REG,2025,14,2025-12-04,"12/4/25, 20:15:37",2025_14_DAL_DET,Ford Field,dome,fieldturf,68 ,70,Wind,
197,LV,DEN,REG,2025,14,2025-12-07,"12/7/25, 16:05:26",2025_14_DEN_LV,Allegiant Stadium,dome,grass,Sunny ,63,30,SE 2
198,KC,HOU,REG,2025,14,2025-12-07,"12/7/25, 20:22:51",2025_14_HOU_KC,GEHA Field at Arrowhead Stadium,outdoors,grass,,27,80,North 8
199,JAX,IND,REG,2025,14,2025-12-07,"12/7/25, 13:02:33",2025_14_IND_JAX,TIAA Bank Stadium,outdoors,grass,,61,98,NE 7
200,ARI,LA,REG,2025,14,2025-12-07,"12/7/25, 16:25:28",2025_14_LA_ARI,State Farm Stadium,closed,grass,Sunny ,68,30,NE 1
201,NYJ,MIA,REG,2025,14,2025-12-07,"12/7/25, 13:02:49",2025_14_MIA_NYJ,MetLife Stadium,outdoors,fieldturf,Cloudy and Cold ,41,58,SW 6
202,TB,NO,REG,2025,14,2025-12-07,"12/7/25, 13:02:43",2025_14_NO_TB,Raymond James Stadium,outdoors,grass,Cloudy ,73,88,E 6
203,LAC,PHI,REG,2025,14,2025-12-08,"12/8/25, 20:15:32",2025_14_PHI_LAC,SoFi Stadium,dome,matrixturf,Clear ,67,56,NW 7
204,BAL,PIT,REG,2025,14,2025-12-07,"12/7/25, 13:02:49",2025_14_PIT_BAL,M&T Bank Stadium,outdoors,grass,Cloudy ,44,51,SW 6
205,ATL,SEA,REG,2025,14,2025-12-07,"12/7/25, 13:02:15",2025_14_SEA_ATL,Mercedes-Benz Stadium,closed,fieldturf,None ,None,None,NE None
206,CLE,TEN,REG,2025,14,2025-12-07,"12/7/25, 13:02:45",2025_14_TEN_CLE,FirstEnergy Stadium,outdoors,grass,Cloudy ,33,86,W 6
207,MIN,WAS,REG,2025,14,2025-12-07,"12/7/25, 13:02:58",2025_14_WAS_MIN,U.S. Bank Stadium,dome,sportturf,,8,67,N 6
208,HOU,ARI,REG,2025,15,2025-12-14,"12/14/25, 13:02:37",2025_15_ARI_HOU,NRG Stadium,closed,astroturf,,53,73,N 9
209,TB,ATL,REG,2025,15,2025-12-11,"12/11/25, 20:15:47",2025_15_ATL_TB,Raymond James Stadium,outdoors,grass,Clear ,56,68,NW 5
210,CIN,BAL,REG,2025,15,2025-12-14,"12/14/25, 13:02:47",2025_15_BAL_CIN,Paycor Stadium,outdoors,fieldturf,Sunny ,10,63,NW 7
211,NE,BUF,REG,2025,15,2025-12-14,"12/14/25, 13:03:24",2025_15_BUF_NE,Gillette Stadium,outdoors,fieldturf,Snow Flurries ,32,86,SE 6
212,NO,CAR,REG,2025,15,2025-12-14,"12/14/25, 16:25:39",2025_15_CAR_NO,Mercedes-Benz Superdome,dome,sportturf,,51,58,N 17
213,CHI,CLE,REG,2025,15,2025-12-14,"12/14/25, 13:03:31",2025_15_CLE_CHI,Soldier Field,outdoors,grass,Sunny ,8,62,NW 6
214,LA,DET,REG,2025,15,2025-12-14,"12/14/25, 16:25:16",2025_15_DET_LA,SoFi Stadium,dome,matrixturf,Sunny ,65,78,SW 3
